Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Pakistan,92,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185
Lebanon,93,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003
Portugal,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999
Macedonia,95,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997
Vietnam,96,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075
Somaliland Region,97,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479
Tunisia,98,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936
Greece,99,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0
Tajikistan,100,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004
Mongolia,101,4.907,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003
Laos,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995
Nigeria,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219
Honduras,104,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044
Iran,105,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538
Zambia,106,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999
Nepal,107,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816
Palestinian Territories,108,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001
Albania,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
Bangladesh,110,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002
Sierra Leone,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897
Iraq,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589
Namibia,113,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795
Cameroon,114,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268
Ethiopia,115,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522
South Africa,116,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656
Sri Lanka,117,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003
India,118,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028
Myanmar,119,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971
Egypt,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998
Armenia,121,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793
Kenya,122,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004
Ukraine,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363
Ghana,124,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002
Congo (Kinshasa),125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003
Georgia,126,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786
Congo (Brazzaville),127,4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077
Senegal,128,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103
Bulgaria,129,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793
Mauritania,130,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998
Zimbabwe,131,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503
Malawi,132,4.156000000000001,0.08709,0.147,0.29364,0.4143,0.07564,0.30968
