Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Guatemala,29,6.398900032,0.89248056,0.8166214820000001,0.648089447,0.9081475729999999,0.783237457,-0.042938665
Italy,30,6.38740015,1.04818363,0.8898785709999999,0.736016846,0.66465199,0.873404682,-0.04346099900000001
Singapore,31,6.377099991000001,1.13955212,0.9102689620000001,0.768045807,0.926645339,0.109784193,0.029879224
Brazil,32,6.375599861,0.95664349,0.896723807,0.664801636,0.799804807,0.7706012729999999,-0.10181239199999999
Slovenia,33,6.363399982000001,1.03923225,0.939575672,0.711029892,0.936142623,0.817071021,-0.080603383
El Salvador,34,6.34829998,0.89090757,0.8060922620000001,0.661082611,0.833805263,0.754319906,-0.12107297800000001
Kosovo,35,6.325200081,0.92044296,0.8207265140000001,0.638855553,0.861535907,0.922328293,0.19093376399999998
Panama,36,6.304800033999999,1.00342341,0.902094483,0.696030121,0.880366504,0.851588905,-0.153927714
Slovakia,37,6.280600071,1.03477497,0.9224937559999999,0.689063416,0.7499526740000001,0.918096125,-0.12440930300000001
Uzbekistan,38,6.257599831,0.87403717,0.926595807,0.651075745,0.974998116,0.501497388,0.248427153
Chile,39,6.228499889,1.00320549,0.879713595,0.699006195,0.7448962929999999,0.838239431,-0.065668367
Bahrain,40,6.227300167,1.06763802,0.876342118,0.685,0.905855775,0.7393470999999999,0.13372919
Lithuania,41,6.215499877999999,1.0343626,0.926107109,0.67294075,0.747381449,0.809583843,-0.21972529600000001
Trinidad and Tobago,42,6.1918997760000005,1.02600021,0.91529417,0.635,0.8579071159999999,0.9122306109999999,0.000526841
Poland,43,6.1862998010000005,1.02651243,0.874257445,0.693111343,0.8620557790000001,0.6869270209999999,-0.205084071
Colombia,44,6.163400172999999,0.95003691,0.884440243,0.67699585,0.8361799120000001,0.86457181,-0.161235645
Cyprus,45,6.15899992,1.04057026,0.8059962390000001,0.7370222470000001,0.7798582909999999,0.8562717440000001,0.043731495999999995
Nicaragua,46,6.13710022,0.84931602,0.8574970359999999,0.675071793,0.8639028670000001,0.665950119,0.020959141
Romania,47,6.123700142000001,1.0107584,0.8251615170000001,0.672072372,0.842823207,0.9343002440000001,-0.19781521
Kuwait,48,6.102099895,1.10898247,0.8464752440000001,0.667676468,0.8723664879999999,0.7608490590000001,-0.100184701
Mauritius,49,6.101299762999999,0.99567862,0.910357833,0.6640434270000001,0.889534533,0.8053430909999999,-0.018318573
Kazakhstan,50,6.0578999520000005,1.01146584,0.934744895,0.646099625,0.811601937,0.7644908429999999,-0.068488635
Estonia,51,6.0218000410000005,1.03400173,0.9347299929999999,0.6860495759999999,0.87770915,0.623073816,-0.111697771
Philippines,52,6.006000042,0.89935455,0.8467300529999999,0.619267616,0.915463448,0.7336341140000001,-0.105463006
Hungary,53,6.000400066,1.02492437,0.921934128,0.6760997009999999,0.718964577,0.892916501,-0.19432301800000001
Thailand,54,5.9987998010000005,0.97417917,0.8899732229999999,0.672505951,0.905063033,0.8862723109999999,0.268685192
Argentina,55,5.974699974,0.9810955,0.900567949,0.688038025,0.831132412,0.8420098420000001,-0.194913864
Honduras,56,5.953199862999999,0.84245348,0.821870148,0.6719876859999999,0.870603263,0.801131904,0.086969115
Latvia,57,5.9499998089999995,1.01753197,0.9182885890000001,0.668074646,0.671237648,0.7955800890000001,-0.186888844
Ecuador,58,5.925199986,0.92460585,0.836418986,0.685000382,0.8598289490000001,0.8012151120000001,-0.127014965
Portugal,59,5.9109001160000005,1.02637425,0.8865907190000001,0.724020233,0.8887478109999999,0.8926295040000001,-0.220714301
Jamaica,60,5.889800072000001,0.90062504,0.9157018659999999,0.670999985,0.8580685259999999,0.8888900279999999,-0.12510676699999998
South Korea,61,5.872399807000001,1.05105667,0.7993871570000001,0.736027298,0.6129651070000001,0.789067447,-0.043404032
Japan,62,5.870800018,1.0579688999999999,0.883545935,0.7500096890000001,0.8099613790000001,0.654558063,-0.24691034899999997
Peru,63,5.796800137000001,0.94563131,0.8310752509999999,0.68100235,0.8247660990000001,0.8937149640000001,-0.16238822
Serbia,64,5.77820015,0.96809807,0.881475747,0.682102051,0.726495862,0.843509018,-0.073676221
Bolivia,65,5.747499942999999,0.88511152,0.803108692,0.636004715,0.875873327,0.8226062059999999,-0.09168113
Pakistan,66,5.69329977,0.84827271,0.689062297,0.582531357,0.734833717,0.7457054259999999,0.04489987
Paraguay,67,5.6921000479999995,0.93899822,0.8987278940000001,0.656399384,0.885923445,0.8347885009999999,0.007997713
Dominican Republic,68,5.6891999239999995,0.96648808,0.882085383,0.658074875,0.8662027720000001,0.755999923,-0.131263286
Bosnia and Herzegovina,69,5.674099922000001,0.94558172,0.829204142,0.67808136,0.651352704,0.933769107,0.098274559
Moldova,70,5.607500076,0.87767143,0.843313575,0.650130158,0.721609175,0.913314283,-0.037741039
Tajikistan,71,5.555699825,0.80248108,0.835297108,0.641045914,0.831383407,0.5920760629999999,-0.025088511
Montenegro,72,5.54610014,0.97518606,0.855314612,0.685053482,0.649565637,0.7831215859999999,-0.075600356
Russia,73,5.546000004,1.01288719,0.903150737,0.641004562,0.729892612,0.864802599,-0.151153743
Kyrgyzstan,74,5.541500092000001,0.81484051,0.8872284890000001,0.641060104,0.909374893,0.888396084,0.15477205800000002
Belarus,75,5.539899826,0.97799454,0.90674746,0.66104332,0.6391630770000001,0.63571167,-0.164926544
North Cyprus,76,5.53550005,1.04057026,0.820356607,0.7370222470000001,0.79529351,0.62611568,0.00022715900000000003
Greece,77,5.514999866,1.01323261,0.8143803479999999,0.724052582,0.5413451189999999,0.8599314090000001,-0.30090737300000003
Hong Kong S.A.R. of China,78,5.510399818,1.09346714,0.8459690809999999,0.767717056,0.7798337940000001,0.420607209,0.134979904
Croatia,79,5.504700184,1.00708752,0.874623716,0.702149048,0.714838803,0.916495264,-0.128538325
Libya,80,5.488800049,0.97898159,0.8259429340000001,0.622999992,0.773157001,0.668779135,-0.085054487
Mongolia,81,5.4562001229999995,0.94121866,0.9371424909999999,0.623044853,0.693351328,0.863511205,0.09809386699999999
Malaysia,82,5.384300232,1.02625189,0.816509426,0.671021576,0.8946268559999999,0.8393023009999999,0.11472679699999999
Vietnam,83,5.353499889,0.88095455,0.849987149,0.679527359,0.939592957,0.79642123,-0.094533332
Indonesia,84,5.285600185,0.93697519,0.808379889,0.621558495,0.8706144090000001,0.876296401,0.519586504
Ivory Coast,85,5.233300208999999,0.82255611,0.658048689,0.49503772700000004,0.727909327,0.7907719609999999,-0.043991156
Benin,86,5.21600008,0.76743197,0.46867114299999996,0.543124657,0.735182583,0.7405325770000001,-0.003537213
Maldives,87,5.197599888,0.95186329,0.91316092,0.705999985,0.8539627790000001,0.824211061,0.038085497999999995
Congo (Brazzaville),88,5.1943998339999995,0.85369873,0.6402280929999999,0.579244804,0.7190585140000001,0.7517790790000001,-0.123674095
Azerbaijan,89,5.164800167,0.9687726999999999,0.819308281,0.655084,0.786824107,0.55253756,-0.24025528100000001
Macedonia,90,5.1598000530000006,0.95105915,0.820392311,0.675044251,0.738840938,0.8974905009999999,-0.019877451
