Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Cambodia,106,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.822769046,0.051911179
Bangladesh,107,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,0.661843538,-0.033664726
Gabon,108,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,0.849150956,-0.222261623
South Africa,109,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,0.843423843,-0.109777324
Iraq,110,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,0.82226181,-0.06956476
Lebanon,111,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,0.90225625,-0.06121527
Burkina Faso,112,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,0.739795029,-0.019080516
Gambia,113,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.690717816,0.343198717
Mali,114,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,0.839328408,-0.044366926
Nigeria,115,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.861874342,0.033745807
Armenia,116,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,0.773544788,-0.13877961
Georgia,117,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,0.665944695,-0.22892037
Iran,118,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.714635968,0.117891103
Jordan,119,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,0.700344324,-0.162565202
Mozambique,120,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.683019102,0.032375868
Kenya,121,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.831499159,0.294681519
Namibia,122,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,0.851449788,-0.18530646
Ukraine,123,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,0.920636714,-0.030933706
Liberia,124,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.856375933,0.04227322
Palestinian Territories,125,4.552800179,8.389223099,0.825295925,62.25,0.645791829,0.824199975,-0.162079096
Uganda,126,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.836737812,0.099487431
Chad,127,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.802760839,0.017834719
Tunisia,128,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,0.867590249,-0.216413811
Mauritania,129,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,0.746223509,-0.106008142
Sri Lanka,130,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.859001756,0.081129618
Congo (Kinshasa),131,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.809403598,0.083637655
Swaziland,132,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,0.708263338,-0.19920142
Myanmar,133,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.645124316,0.560663998
Comoros,134,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.780622602,0.090008408
Togo,135,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.757733464,0.002667875
Ethiopia,136,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.753690004,0.043377332
Madagascar,137,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,0.817485631,-0.011823639
Egypt,138,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314
Sierra Leone,139,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.861330688,0.088660747
Burundi,140,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,0.606934547,-0.017551597
Zambia,141,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.801289678,0.078037128
